RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2023-03-08 08:37:29.0545382,1531,Info,Microsoft-Windows-User Profiles Service,Application,1796,1908,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,Classic,0,"{""EventData"":""""}"
2,2,2023-03-08 08:37:29.2654823,5615,Info,Microsoft-Windows-WMI,Application,2572,2752,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,Classic,0,"{""EventData"":""""}"
3,3,2023-03-08 08:37:29.4807346,0,Info,edgeupdate,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Service stopped"",""Binary"":""""}}"
4,4,2023-03-08 08:37:29.6512757,5617,Info,Microsoft-Windows-WMI,Application,2572,2876,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,Classic,0,"{""EventData"":""""}"
5,5,2023-03-08 08:37:39.1526032,4112,Info,Microsoft-Windows-CAPI2,Application,2496,2928,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":""‎Monday, ‎March ‎15, ‎2021 11:29:24 PM"",""Binary"":""""}}"
6,6,2023-03-08 08:37:44.0276315,258,LogAlways,Microsoft-Windows-Defrag,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""shrink, (C:)"",""Binary"":""00-00-00-00-2E-02-00-00-12-02-00-00-00-00-00-00-22-36-79-62-53-3B-B6-17-67-E3-00-00-00-00-00-00-00-00-00-00""}}"
7,7,2023-03-08 08:37:46.4215294,1532,Info,Microsoft-Windows-User Profiles Service,Application,1796,1908,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,Classic,0,"{""EventData"":""""}"
8,8,2023-03-08 08:38:05.9332909,4625,Info,Microsoft-Windows-EventSystem,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""86400""},{""@Name"":""param2"",""#text"":""SuppressDuplicateDuration""},{""@Name"":""param3"",""#text"":""Software\\Microsoft\\EventSystem\\EventLog""}]}}"
9,9,2023-03-08 08:38:05.9958345,1016,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""c1a197b6-ba5e-4394-b9bf-b659a6c1b873, 88d68b6f-8762-54b3-a3a4-920848fabd33"",""Binary"":""""}}"
10,10,2023-03-08 08:38:06.0739316,1034,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Security-SPP-WriteWauMarker, 500"",""Binary"":""""}}"
